"probe_id","Symbol","logFC","pvalue","adj_pval","dataset"
"8142624","8142624",0.137283291866667,0.436169279974874,0.55031558688845,"GSE78851"
"8142628","8142628",0.308603124666667,0.0594493472249192,0.134829382122413,"GSE78851"
"8142646","8142646",-0.0344106065333333,0.852096803992637,0.895981884336676,"GSE78851"
"8142661","8142661",0.418139371,0.0416743332953168,0.108406589286583,"GSE78851"
"8142663","8142663",-0.0270587633333338,0.954368435659148,0.969571862467873,"GSE78851"
"8142671","8142671",-0.701956752133333,0.0466515606313228,0.116207446649802,"GSE78851"
"8142685","8142685",0.3114931102,0.0394603644264623,0.104689444453374,"GSE78851"
"8142687","8142687",0.656497195333334,0.002031571922787,0.0199145749962991,"GSE78851"
"8142692","8142692",0.296063354,0.120504959584324,0.215937766096646,"GSE78851"
"8142697","8142697",-0.223117144,0.524831562653685,0.631224142011087,"GSE78851"
"8142718","8142718",0.512003164133333,0.0255385494382683,0.0809229633824766,"GSE78851"
"8142730","8142730",-0.167893222,0.527269808583775,0.633073592128259,"GSE78851"
"8142740","8142740",0.0819371564,0.507218985356582,0.615765554594582,"GSE78851"
"8142747","8142747",0.786487502666667,0.00698313175344557,0.0391296643226359,"GSE78851"
"8142763","8142763",-2.21318876133333,0.000151343762623433,0.00499901954596783,"GSE78851"
"8142765","8142765",-0.20268132,0.178976671843341,0.286031750412168,"GSE78851"
"8142770","8142770",-1.03851901046667,0.000179678751289149,0.00542588480226614,"GSE78851"
"8142774","8142774",-0.777710341333334,0.000170751968549883,0.00532912278926117,"GSE78851"
"8142795","8142795",0.321809674266667,0.0155569819445066,0.0609712885902745,"GSE78851"
"8142814","8142814",-0.385577955466667,0.114241836619016,0.208422619399248,"GSE78851"
"8142821","8142821",0.660176454,0.0102624676014975,0.0483449349789268,"GSE78851"
"8142830","8142830",0.766589442666667,0.0100222153788185,0.0478075571333629,"GSE78851"
"8142852","8142852",-1.0897312928,0.00299036103741689,0.0243042603573165,"GSE78851"
"8142876","8142876",0.504010556466667,0.00495711274385345,0.0324064510421887,"GSE78851"
"8142878","8142878",-1.35376201013333,0.0246018632618589,0.079217117641209,"GSE78851"
"8142880","8142880",0.447990831866667,0.00872900975386119,0.0442956200710527,"GSE78851"
"8142882","8142882",0.113186739333333,0.317555584598738,0.435842548815297,"GSE78851"
"8142884","8142884",0.4644522362,0.018502435969084,0.0671245516162486,"GSE78851"
"8142886","8142886",-0.7925531956,0.133677397669447,0.232351905191118,"GSE78851"
