"probe_id","symbol","log2FC","CI.L","CI.R","pvalue","adj_pval","dataset"
"200072_s_at","HNRNPM",0.241155085000001,-0.203395081472244,0.685705251472247,0.265181397152413,0.367790187047958,"GSE25628"
"200073_s_at","HNRNPD",-0.231587001625,-0.676433248400672,0.213259245150672,0.284125146150091,0.387437720152689,"GSE25628"
"200074_s_at","RPL14",-0.107453858749998,-0.395869192325749,0.180961474825753,0.438931388490294,0.540254961124829,"GSE25628"
"200075_s_at","GUK1",0.813658922166667,0.387999000348189,1.23931884398514,0.00102262528571554,0.00712352204186524,"GSE25628"
"200076_s_at","KXD1",0.738831900000002,0.445732782652252,1.03193101734775,8.1939314399815e-05,0.00168858659286279,"GSE25628"
"200077_s_at","OAZ1",0.126721591666667,-0.107793804851232,0.361236988184565,0.26697028700282,0.369580977104264,"GSE25628"
"200078_s_at","ATP6V0B",0.230763100125,-0.172268087913505,0.633794288163506,0.240702601911558,0.341754739501835,"GSE25628"
"200079_s_at","KARS",0.144819558916667,-0.192231573676392,0.481870691509725,0.373681960598739,0.476912806431286,"GSE25628"
"200080_s_at","H3F3A /// H3F3AP4 /// H3F3B",-0.512870927916665,-0.942823693983829,-0.0829181618495009,0.0225951189412192,0.0595189150589499,"GSE25628"
"200081_s_at","RPS6",-0.39390245375,-0.695787463074601,-0.0920174444253978,0.0140547672026585,0.0419493532282273,"GSE25628"
"200082_s_at","RPS7",-0.274043157916666,-0.55957418060504,0.0114878647717085,0.0587129812997286,0.119316647000005,"GSE25628"
"200083_at","USP22",0.608896818416667,0.280174103942876,0.937619532890457,0.00131851627905842,0.00836825844689014,"GSE25628"
"200084_at","C11orf58",-0.666259400583333,-1.18216312457276,-0.150355676593905,0.0148802645715947,0.0436167965607125,"GSE25628"
"200085_s_at","TCEB2",0.020967704583334,-0.412381730759487,0.454317139926155,0.91910203033185,0.941070464694808,"GSE25628"
"200086_s_at","COX4I1",0.300396583750002,0.0682044407188231,0.53258872678118,0.0147349552638788,0.043351619247753,"GSE25628"
"200087_s_at","TMED2",-0.315360214999999,-0.633904512920983,0.00318408292098432,0.0520456953120744,0.109324701910733,"GSE25628"
"200088_x_at","NBEAL1 /// RPL12",-0.0842589954166655,-0.271957340448657,0.103439349615326,0.353263343366472,0.457112424499006,"GSE25628"
"200089_s_at","RPL4 /// SNORD16 /// SNORD18A /// SNORD18B /// SNORD18C",-0.0254305587499984,-0.30933478958278,0.258473672082783,0.850921791587906,0.891878458229217,"GSE25628"
"200090_at","FNTA",-0.684481978916667,-1.10286747125768,-0.266096486575649,0.00335970312340201,0.0153810329798657,"GSE25628"
"200091_s_at","RPS25",-0.118006179583332,-0.439520204866064,0.2035078456994,0.445621000995185,0.547098321254877,"GSE25628"
"200092_s_at","RPL37",0.0166827654166674,-0.168873178940619,0.202238709773954,0.850375608128307,0.891431811315905,"GSE25628"
"200093_s_at","HINT1",-0.592312595416666,-0.981349577423718,-0.203275613409615,0.0054977759689624,0.0215827094922238,"GSE25628"
"200094_s_at","EEF2",0.387225490000002,0.119106281247988,0.655344698752016,0.00771629969539313,0.0272980797704102,"GSE25628"
"200095_x_at","RPS10",0.0612689287499998,-0.122847295159695,0.245385152659694,0.488446222685909,0.586519863237063,"GSE25628"
